0000,38823,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(73)Bt(93)Vt(93)"
0004,38823,"Vogt, N.; Faundez, A. M.","1979A&AS...36..477V",,"u(4)v(4)b(4)y(4)"
0027,38823,"Hensberge, H.; Deridder, G.; Doom, C.; et al.","1981A&AS...46..151H","HD38856","u(20)v(20)"
0027,38823,"Hensberge, H.; Deridder, G.; Doom, C.; et al.","1981A&AS...46..151H",,"deltaa(11)V(11)"
0000,39317,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(80)Bt(100)Vt(100)"
0058,39317,"Winzer, John Ernest","1974PhDT........61W","HD38899","U(12)B(12)V(12)"
0000,40312,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(119)Bt(183)Vt(183)"
0037,40312,"Adelman, Saul J.","1997PASP..109....9A","HD39182","u(47)v(47)b(47)y(47)"
0058,40312,"Winzer, John Ernest","1974PhDT........61W","HD38104","U(15)B(15)V(15)hbeta(7)"
0087,40312,"Adelman, S. J.; Kaewkornmaung, P.","2005A&A...435.1099A","HD39182","u(69)v(69)b(69)y(69)"
0000,40394,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(162)Bt(176)Vt(176)"
0021,40394,"Adelman, Saul J.; Brunhouse, Eric F.","1998PASP..110.1304A","HD40626","u(83)v(83)b(83)y(83)"
0058,40394,"Winzer, John Ernest","1974PhDT........61W","HD38179","U(13)B(13)V(13)"
0116,40394,"Adelman, Saul J.","2005PASP..117..476A","HD40626","u(72)v(72)b(72)y(72)"
0000,41089,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(133)Bt(187)Vt(187)"
0092,41089,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.","1995yCat.2170....0M",,"u(163)v(163)b(163)y(163)"
0093,41089,"Sterken, C.; Manfroid, J.; Anton, K.; et al.","1995yCat.2188....0S",,"u(67)v(67)b(67)y(67)"
0000,41269,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(81)Bt(100)Vt(100)"
0058,41269,"Winzer, John Ernest","1974PhDT........61W","HD40588","U(8)B(8)V(8)"
0000,43819,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(95)Bt(170)Vt(170)"
0006,43819,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(3)H(3)K(3)L(3)"
0033,43819,"Adelman, S. J.","1997A&AS..125...65A","HD43153","u(110)v(110)b(110)y(110)"
0058,43819,"Winzer, John Ernest","1974PhDT........61W","HD43153","U(9)B(9)V(9)"
0086,43819,"Adelman, S. J.; Young, K. J.","2005A&A...429..317A","HD43153","u(61)v(61)b(61)y(61)"
0111,43819,"Pojmanski, G.","2002AcA....52..397P",,"V(384)"
0000,47152,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(90)Bt(100)Vt(100)"
0058,47152,"Winzer, John Ernest","1974PhDT........61W","HD46553","U(10)B(10)V(10)"
0000,49333,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(136)Bt(190)Vt(190)"
0006,49333,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(9)H(9)K(9)L(9)M(9)"
0020,49333,"Adelman, Saul J.","2000A&AS..146...13A","HD47703","u(66)v(66)b(66)y(66)"
0026,49333,"Pedersen, H.; Thomsen, B.","1977A&AS...30...11P",,"u(16)v(16)b(16)y(16)"
0000,49606,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(97)Bt(100)Vt(100)"
0017.1,49606,"Adelman, Saul J.","1999A&AS..134...53A","HD48097","u(97)v(97)b(97)y(97)"
0017.2,49606,"Adelman, Saul J.","1999A&AS..134...53A","HD47863","u(42)v(42)b(42)y(42)"
0000,49713,"ESA 1997, The Tycho Catalogues","ESA, SP-1200",,"Hp(82)Bt(125)Vt(125)"
0142,49713 ,"Dukes, Robert J., Jr.; Adelman, Saul J.","2018PASP..130d4202D","HD47964","u(344)v(344)b(344)y(344)"
0000,49976,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(87)Bt(115)Vt(115)"
0006,49976,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(4)H(4)K(4)L(4)M(4)"
0114,49976,"Pilachowski, C.A.; Bonsack, W.K.; Wolff, S.C.","1974A&A....37..275P",,"u(22)v(22)b(22)y(22)"
